Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,31-Dec-2024,02-Jan-2025,CE,23500.00,194.00,303.00,123.80,254.25,265.25,254.25,1189811.00,21139745.40,169326.52,1916175.00,1326525.00,23644.80
NIFTY,31-Dec-2024,02-Jan-2025,CE,24500.00,1.80,2.15,1.50,1.90,1.70,1.90,851403.00,15645726.63,1196.51,13954200.00,4307850.00,23644.80
NIFTY,31-Dec-2024,02-Jan-2025,CE,24550.00,1.25,2.00,1.25,1.70,1.50,1.70,221900.00,4086016.87,283.12,2003025.00,-276900.00,23644.80
NIFTY,31-Dec-2024,02-Jan-2025,CE,22400.00,1233.00,1265.00,1233.00,1265.00,1265.00,1253.10,4.00,70.96,3.76,450.00,-300.00,23644.80
NIFTY,31-Dec-2024,02-Jan-2025,CE,22450.00,-,-,-,1219.85,-,1203.10,-,-,-,-,-,23644.80
NIFTY,31-Dec-2024,02-Jan-2025,CE,23550.00,184.20,265.55,102.00,219.55,228.10,219.55,1050119.00,18675509.93,127783.09,960750.00,842175.00,23644.80
NIFTY,31-Dec-2024,02-Jan-2025,CE,24600.00,1.55,1.85,1.30,1.60,1.45,1.60,393919.00,7268273.35,467.80,5038350.00,1494450.00,23644.80
NIFTY,31-Dec-2024,02-Jan-2025,CE,21800.00,-,-,-,1776.65,-,1852.85,-,-,-,-,-,23644.80
NIFTY,31-Dec-2024,02-Jan-2025,CE,22950.00,619.05,785.00,545.60,753.00,748.25,753.00,239.00,4231.50,117.71,6675.00,4425.00,23644.80
NIFTY,31-Dec-2024,02-Jan-2025,CE,24050.00,15.00,30.00,9.85,18.90,19.85,18.90,708911.00,12796246.11,9263.95,2551125.00,844275.00,23644.80
NIFTY,31-Dec-2024,02-Jan-2025,CE,25050.00,1.15,1.45,1.00,1.20,1.20,1.20,35237.00,662047.57,32.43,765075.00,470850.00,23644.80
NIFTY,31-Dec-2024,02-Jan-2025,CE,25100.00,1.10,1.50,1.00,1.10,1.00,1.10,63708.00,1199359.29,56.19,1608225.00,364725.00,23644.80
NIFTY,31-Dec-2024,02-Jan-2025,CE,25800.00,0.90,1.30,0.80,1.00,0.95,1.00,64935.00,1256544.27,52.02,1841700.00,241050.00,23644.80
NIFTY,31-Dec-2024,02-Jan-2025,CE,21850.00,-,-,-,1731.40,-,1802.90,-,-,-,-,-,23644.80
NIFTY,31-Dec-2024,02-Jan-2025,CE,23000.00,606.00,752.55,494.20,699.20,712.50,699.20,11807.00,209039.19,5368.44,148350.00,-7800.00,23644.80
NIFTY,31-Dec-2024,02-Jan-2025,CE,24100.00,12.00,21.30,7.70,13.15,13.40,13.15,1007468.00,18219465.77,9481.67,5750475.00,1007400.00,23644.80
NIFTY,31-Dec-2024,02-Jan-2025,CE,25150.00,1.00,1.40,0.90,1.15,1.20,1.15,24381.00,459908.41,21.80,557400.00,274875.00,23644.80
NIFTY,31-Dec-2024,02-Jan-2025,CE,25850.00,1.00,1.30,0.85,1.00,0.85,1.00,9021.00,174901.99,7.35,300300.00,151575.00,23644.80
NIFTY,31-Dec-2024,02-Jan-2025,CE,25900.00,0.95,1.30,0.80,0.95,0.80,0.95,33043.00,641886.62,26.34,595575.00,263100.00,23644.80
NIFTY,31-Dec-2024,09-Jan-2025,CE,23700.00,185.85,272.00,143.60,239.75,246.00,239.75,72887.00,1306810.06,11243.64,1277100.00,972975.00,23644.80
NIFTY,31-Dec-2024,09-Jan-2025,CE,23750.00,151.05,243.00,125.40,212.35,220.00,212.35,13138.00,235754.86,1734.23,126900.00,-1800.00,23644.80
NIFTY,31-Dec-2024,09-Jan-2025,CE,25550.00,1.95,2.55,1.95,2.40,2.40,2.40,123.00,2357.21,0.22,6000.00,-2100.00,23644.80
NIFTY,31-Dec-2024,09-Jan-2025,CE,25600.00,2.40,2.70,2.15,2.40,2.35,2.40,1078.00,20699.52,1.92,36300.00,22875.00,23644.80
NIFTY,31-Dec-2024,09-Jan-2025,CE,23800.00,142.45,216.25,108.40,186.25,194.60,186.25,63881.00,1147951.29,7675.44,1090650.00,217200.00,23644.80
NIFTY,31-Dec-2024,09-Jan-2025,CE,23850.00,110.50,190.45,94.25,164.40,170.00,164.40,12605.00,226793.36,1321.42,155475.00,9675.00,23644.80
NIFTY,31-Dec-2024,09-Jan-2025,CE,25650.00,2.25,2.85,2.00,2.15,2.25,2.15,89.00,1712.28,0.14,6375.00,675.00,23644.80
NIFTY,31-Dec-2024,09-Jan-2025,CE,25700.00,2.00,2.40,2.00,2.30,2.30,2.30,129.00,2486.70,0.22,9975.00,3600.00,23644.80
NIFTY,31-Dec-2024,09-Jan-2025,CE,23900.00,100.05,166.00,80.75,142.00,148.00,142.00,43426.00,782278.00,3866.95,549975.00,82425.00,23644.80
NIFTY,31-Dec-2024,09-Jan-2025,CE,23950.00,97.15,144.00,69.35,123.05,128.00,123.05,14073.00,253822.14,1035.88,141300.00,33750.00,23644.80
NIFTY,31-Dec-2024,09-Jan-2025,CE,24000.00,72.55,124.20,58.85,104.90,111.00,104.90,99441.00,1796391.47,6453.47,1556400.00,476775.00,23644.80
NIFTY,31-Dec-2024,09-Jan-2025,CE,25750.00,2.20,2.60,2.05,2.25,2.15,2.25,170.00,3283.42,0.29,7875.00,1275.00,23644.80
NIFTY,31-Dec-2024,02-Jan-2025,CE,25200.00,1.10,1.35,0.70,1.05,0.90,1.05,86042.00,1626266.42,72.62,2156175.00,43500.00,23644.80
