Date,Expiry,Entry_Nifty,Strike_Sold,Premium_Received,Lot_Size,Expiry_PnL
2022-03-01,2022-03-31,16450.0,16550,315.09,50,-1745.5
2022-06-01,2022-06-30,18600.0,18700,394.26,50,-137787.0
2023-08-01,2023-08-31,20750.0,20850,50.84,50,-159958.0
2023-11-01,2023-11-30,18000.0,18100,266.44,50,18322.0
2024-02-01,2024-02-29,18700.0,18800,108.88,50,10444.0
2024-10-01,2024-10-31,17250.0,17350,326.81,75,32010.75
