Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,29-Dec-2023,11-Jan-2024,PE,21600.00,147.00,170.40,116.50,126.75,134.50,126.75,26457.00,287612.75,1877.15,307450.00,40000.00,21731.40
NIFTY,29-Dec-2023,11-Jan-2024,PE,19600.00,-,-,-,13.50,13.50,0.05,-,-,-,1200.00,-,21731.40
NIFTY,29-Dec-2023,11-Jan-2024,PE,19650.00,-,-,-,21.65,21.65,0.05,-,-,-,450.00,-,21731.40
NIFTY,29-Dec-2023,11-Jan-2024,PE,19700.00,5.00,5.00,3.10,3.25,3.50,3.25,190.00,1871.89,0.39,10300.00,2800.00,21731.40
NIFTY,29-Dec-2023,11-Jan-2024,PE,21650.00,167.55,189.15,131.70,144.70,151.85,144.70,8327.00,90804.69,664.91,65550.00,21000.00,21731.40
NIFTY,29-Dec-2023,11-Jan-2024,PE,21700.00,187.00,210.70,147.60,163.30,169.00,163.30,47874.00,523671.81,4238.91,394350.00,123600.00,21731.40
NIFTY,29-Dec-2023,04-Jan-2024,PE,18650.00,1.05,1.60,1.00,1.35,1.30,1.35,1367.00,12748.18,0.91,23450.00,22900.00,21731.40
NIFTY,29-Dec-2023,04-Jan-2024,PE,18700.00,1.90,2.00,1.00,1.30,1.15,1.30,3567.00,33353.81,2.36,39900.00,37450.00,21731.40
NIFTY,29-Dec-2023,04-Jan-2024,PE,20000.00,2.25,2.45,1.35,1.55,1.35,1.55,169177.00,1691915.15,145.15,2277650.00,231800.00,21731.40
NIFTY,29-Dec-2023,04-Jan-2024,PE,20050.00,1.75,2.70,1.55,1.70,1.65,1.70,9576.00,96008.29,8.89,55650.00,34750.00,21731.40
NIFTY,29-Dec-2023,04-Jan-2024,PE,21250.00,21.60,27.60,11.40,13.65,13.80,13.65,218518.00,2323919.89,2166.14,888800.00,449150.00,21731.40
NIFTY,29-Dec-2023,04-Jan-2024,PE,18750.00,2.10,2.10,0.95,1.25,1.20,1.25,1739.00,16304.26,1.14,17950.00,17550.00,21731.40
NIFTY,29-Dec-2023,04-Jan-2024,PE,20100.00,2.65,2.80,1.45,1.65,1.50,1.65,40118.00,403223.63,37.73,251900.00,47950.00,21731.40
NIFTY,29-Dec-2023,04-Jan-2024,PE,20150.00,2.80,2.80,1.60,1.80,1.60,1.80,11856.00,119460.66,11.46,69000.00,37300.00,21731.40
NIFTY,29-Dec-2023,04-Jan-2024,PE,21300.00,25.75,34.00,14.30,17.30,17.05,17.30,505426.00,5388896.41,6109.51,2881650.00,737700.00,21731.40
NIFTY,29-Dec-2023,04-Jan-2024,PE,21350.00,31.95,41.80,17.50,21.35,21.05,21.35,287793.00,3076449.80,4259.52,1022700.00,514900.00,21731.40
NIFTY,29-Dec-2023,04-Jan-2024,PE,18800.00,2.05,2.05,0.95,1.35,1.25,1.35,26680.00,250808.43,16.43,571600.00,-239250.00,21731.40
NIFTY,29-Dec-2023,04-Jan-2024,PE,18850.00,1.65,2.20,1.05,1.30,1.05,1.30,1408.00,13271.31,0.91,20050.00,18700.00,21731.40
NIFTY,29-Dec-2023,04-Jan-2024,PE,20200.00,2.80,2.80,1.60,1.85,1.75,1.85,49607.00,501080.45,49.75,357500.00,104600.00,21731.40
NIFTY,29-Dec-2023,04-Jan-2024,PE,21400.00,36.10,51.35,21.95,26.85,26.35,26.85,671455.00,7196774.92,12206.42,2555900.00,425000.00,21731.40
NIFTY,29-Dec-2023,04-Jan-2024,PE,21450.00,45.90,62.80,27.30,32.80,32.15,32.80,388132.00,4171257.48,8541.78,1094250.00,392400.00,21731.40
NIFTY,29-Dec-2023,04-Jan-2024,PE,18900.00,2.05,2.05,0.95,1.30,1.25,1.30,4449.00,42045.90,2.85,51550.00,41200.00,21731.40
NIFTY,29-Dec-2023,04-Jan-2024,PE,18950.00,1.10,1.65,1.10,1.40,1.15,1.40,1358.00,12867.95,0.90,21550.00,21000.00,21731.40
NIFTY,29-Dec-2023,04-Jan-2024,PE,20250.00,2.80,3.20,1.60,1.85,1.60,1.85,16366.00,165722.49,16.74,105700.00,85750.00,21731.40
NIFTY,29-Dec-2023,04-Jan-2024,PE,20300.00,2.60,2.80,1.80,2.05,1.90,2.05,50873.00,516415.29,54.34,515750.00,183550.00,21731.40
NIFTY,29-Dec-2023,04-Jan-2024,PE,21500.00,54.05,76.05,33.90,40.60,40.35,40.60,1258145.00,13559023.56,33964.81,6227300.00,2116100.00,21731.40
NIFTY,29-Dec-2023,04-Jan-2024,PE,19000.00,1.95,1.95,1.00,1.20,1.15,1.20,138979.00,1320386.50,86.00,1531500.00,-971850.00,21731.40
NIFTY,29-Dec-2023,04-Jan-2024,PE,19050.00,2.10,2.40,1.05,1.25,1.20,1.25,1736.00,16536.65,1.25,14500.00,13450.00,21731.40
NIFTY,29-Dec-2023,04-Jan-2024,PE,20350.00,2.25,2.95,1.70,1.95,1.70,1.95,28463.00,289642.57,31.55,166900.00,78400.00,21731.40
NIFTY,29-Dec-2023,04-Jan-2024,PE,21550.00,54.00,91.95,42.95,50.80,52.40,50.80,581168.00,6281045.16,18959.96,1237400.00,638000.00,21731.40
NIFTY,29-Dec-2023,04-Jan-2024,PE,21600.00,76.50,110.00,53.35,63.30,64.55,63.30,1469710.00,15931865.19,58997.19,3567500.00,756350.00,21731.40
NIFTY,29-Dec-2023,04-Jan-2024,PE,19100.00,2.25,2.25,1.05,1.50,1.30,1.50,34226.00,326881.00,22.70,555700.00,-225100.00,21731.40
NIFTY,29-Dec-2023,04-Jan-2024,PE,20400.00,2.40,3.00,1.80,2.15,1.80,2.15,99924.00,1019340.48,115.68,816400.00,351600.00,21731.40
NIFTY,29-Dec-2023,04-Jan-2024,PE,20450.00,3.20,3.30,1.20,2.20,2.05,2.20,43083.00,440577.76,54.09,612350.00,196700.00,21731.40
NIFTY,29-Dec-2023,04-Jan-2024,PE,21650.00,100.00,131.40,66.35,78.60,80.20,78.60,1086372.00,11812668.26,52691.36,1313200.00,632350.00,21731.40
NIFTY,29-Dec-2023,04-Jan-2024,PE,21700.00,100.00,154.90,78.45,96.10,100.00,96.10,3122197.00,34056922.56,181085.11,4485600.00,2055150.00,21731.40
NIFTY,29-Dec-2023,04-Jan-2024,PE,19150.00,1.55,2.40,1.05,1.45,1.05,1.45,1085.00,10389.64,0.77,15350.00,14500.00,21731.40
NIFTY,29-Dec-2023,04-Jan-2024,PE,19200.00,2.00,2.00,1.00,1.45,1.25,1.45,8061.00,77391.20,5.60,61000.00,-13200.00,21731.40
NIFTY,29-Dec-2023,04-Jan-2024,PE,20500.00,2.90,3.55,2.20,2.55,2.30,2.55,271290.00,2781100.51,378.01,4146450.00,1117250.00,21731.40
NIFTY,29-Dec-2023,04-Jan-2024,PE,21750.00,135.00,181.40,90.00,115.50,119.55,115.50,1549991.00,16961863.01,105710.89,1669700.00,750750.00,21731.40
NIFTY,29-Dec-2023,04-Jan-2024,PE,21800.00,165.75,210.70,120.45,138.35,145.60,138.35,1520446.00,16694472.83,121611.43,2293600.00,83250.00,21731.40
NIFTY,29-Dec-2023,04-Jan-2024,PE,19250.00,1.40,1.75,1.15,1.45,1.40,1.45,1046.00,10068.52,0.77,19600.00,18500.00,21731.40
NIFTY,29-Dec-2023,04-Jan-2024,PE,19300.00,2.25,2.25,1.10,1.50,1.65,1.50,6305.00,60847.85,4.60,42300.00,7850.00,21731.40
NIFTY,29-Dec-2023,04-Jan-2024,PE,20550.00,3.55,3.70,1.90,2.55,2.40,2.55,33755.00,346883.40,50.77,179550.00,95200.00,21731.40
NIFTY,29-Dec-2023,04-Jan-2024,PE,20600.00,2.95,4.45,2.10,2.65,2.15,2.65,242854.00,2501785.28,389.08,1495150.00,203100.00,21731.40
NIFTY,29-Dec-2023,04-Jan-2024,PE,21850.00,175.35,242.05,144.60,164.60,174.60,164.60,295272.00,3253413.87,27567.27,532400.00,36600.00,21731.40
NIFTY,29-Dec-2023,04-Jan-2024,PE,21900.00,215.00,276.25,171.65,194.25,204.00,194.25,391458.00,4328830.69,42365.59,677000.00,62850.00,21731.40
NIFTY,29-Dec-2023,04-Jan-2024,PE,19350.00,2.45,2.45,1.20,1.50,1.70,1.50,1042.00,10082.15,0.80,15800.00,12450.00,21731.40
NIFTY,29-Dec-2023,04-Jan-2024,PE,19400.00,2.35,2.45,1.05,1.45,1.25,1.45,12854.00,124692.65,8.85,159200.00,-40800.00,21731.40
NIFTY,29-Dec-2023,04-Jan-2024,PE,20650.00,3.80,4.45,2.50,3.00,2.60,3.00,139233.00,1437832.14,251.41,1258150.00,1106500.00,21731.40
NIFTY,29-Dec-2023,04-Jan-2024,PE,21950.00,239.60,312.60,201.70,225.35,238.05,225.35,58622.00,650618.77,7242.32,209900.00,-32000.00,21731.40
NIFTY,29-Dec-2023,04-Jan-2024,PE,22000.00,270.00,352.00,230.30,262.25,277.60,262.25,205030.00,2284404.71,29074.71,1041700.00,349800.00,21731.40
NIFTY,29-Dec-2023,04-Jan-2024,PE,19450.00,1.45,1.90,1.10,1.55,1.40,1.55,2326.00,22622.06,1.71,27400.00,26250.00,21731.40
NIFTY,29-Dec-2023,11-Jan-2024,PE,21050.00,40.85,45.75,28.25,32.00,32.00,32.00,3166.00,33380.47,58.32,52750.00,17450.00,21731.40
NIFTY,29-Dec-2023,11-Jan-2024,PE,21100.00,44.35,52.35,32.50,36.25,36.30,36.25,14076.00,148800.31,298.51,260500.00,50.00,21731.40
NIFTY,29-Dec-2023,11-Jan-2024,PE,21150.00,52.45,59.10,36.70,41.25,47.30,41.25,3750.00,39745.98,89.73,52750.00,14750.00,21731.40
NIFTY,29-Dec-2023,11-Jan-2024,PE,21200.00,57.00,66.80,41.60,47.40,48.15,47.40,14304.00,152006.64,384.24,227950.00,49800.00,21731.40
NIFTY,29-Dec-2023,11-Jan-2024,PE,21250.00,67.25,75.20,48.00,53.55,53.95,53.55,8896.00,94806.63,286.63,109900.00,-14300.00,21731.40
NIFTY,29-Dec-2023,11-Jan-2024,PE,21300.00,74.70,86.00,53.85,60.25,60.05,60.25,17397.00,185881.01,602.96,391150.00,85700.00,21731.40
NIFTY,29-Dec-2023,04-Jan-2024,PE,19500.00,2.35,2.85,1.20,1.40,1.30,1.40,73494.00,716623.73,57.23,1290750.00,-332000.00,21731.40
NIFTY,29-Dec-2023,04-Jan-2024,PE,20700.00,3.05,4.60,2.50,3.05,2.85,3.05,207697.00,2150054.75,390.80,1663800.00,652450.00,21731.40
NIFTY,29-Dec-2023,04-Jan-2024,PE,20750.00,4.25,5.05,2.50,3.15,2.65,3.15,87084.00,903678.40,181.90,602500.00,280600.00,21731.40
NIFTY,29-Dec-2023,04-Jan-2024,PE,22050.00,300.00,390.60,270.80,301.00,316.85,301.00,17014.00,190314.62,2735.27,228200.00,88900.00,21731.40
NIFTY,29-Dec-2023,04-Jan-2024,PE,22100.00,331.00,434.55,310.00,344.05,359.45,344.05,20391.00,228999.49,3678.94,345750.00,236550.00,21731.40
